iso3,regimen,modelo,mae_rel,dm_p,gana_sig
COL,calma,"ARMA(2,2)",1.0419180163106778,0.6811534847699797,False
COL,calma,Ridge sobre rezagos,1.1288094284989938,0.4004247492087281,False
COL,ruptura,LSTM(16),0.6450660047496397,,False
COL,ruptura,Random Forest,0.7126407086219516,,False
COL,ruptura,Comb. RF/AR(1) suave,0.8285361293608241,,False
COL,ruptura,Comb. RF/AR(1) dura,0.8285361293608241,,False
COL,ruptura,Comb. RF/AR(1) umbral min,0.8290466272543087,,False
COL,ruptura,"ARIMA(1,1,1)",0.8307554193093434,,False
COL,ruptura,AR(1),0.8310853323999406,,False
COL,ruptura,Ridge sobre rezagos,0.832141129231265,,False
COL,ruptura,Comb. LSTM/AR(1) suave,0.8419369174508127,,False
COL,ruptura,"ARMA(2,2)",0.8593059998593141,,False
COL,ruptura,Ingenuo,1.0,,False
COL,ruptura,Deriva,1.0061796354776413,,False
COL,ruptura,Comb. RF/ingenuo suave,1.0131196180240558,,False
CRI,calma,LSTM(16),0.7378898810342052,0.15890120704317207,False
CRI,calma,"ARIMA(1,1,1)",0.7918856999347479,0.04525469240775965,True
CRI,calma,Comb. RF/AR(1) umbral min,0.7965449406788807,0.09831118315341876,False
CRI,calma,AR(1),0.7966739376070714,0.07287189398897172,False
CRI,calma,Ridge sobre rezagos,0.906619178558477,0.41182068002538497,False
CRI,calma,Comb. RF/AR(1) suave,0.9477358561116296,0.6797497701959498,False
CRI,calma,Comb. RF/AR(1) dura,0.9516563413239666,0.7014724813656626,False
CRI,calma,"ARMA(2,2)",0.9750560871966835,0.8425791366420701,False
CRI,calma,Comb. RF/ingenuo suave,0.9925905745442969,0.9495041410486611,False
CRI,calma,Ingenuo,1.0,,False
CRI,calma,Deriva,1.0193820119132824,0.013978139342127185,False
CRI,calma,Random Forest,1.064522179702234,0.5779883977477681,False
CRI,ruptura,LSTM(16),0.6580817961696677,,False
CRI,ruptura,Comb. LSTM/AR(1) suave,0.7133087188039271,,False
CRI,ruptura,"ARMA(2,2)",0.786834320191513,,False
CRI,ruptura,AR(1),0.793584080933576,,False
CRI,ruptura,"ARIMA(1,1,1)",0.8053084720675991,,False
CRI,ruptura,Ridge sobre rezagos,0.8275970845334633,,False
CRI,ruptura,Comb. RF/AR(1) suave,0.8760821801197909,,False
CRI,ruptura,Comb. RF/AR(1) dura,0.8760821801197909,,False
CRI,ruptura,Comb. RF/ingenuo suave,0.8760821801197909,,False
CRI,ruptura,Random Forest,0.885637516105852,,False
CRI,ruptura,Comb. RF/AR(1) umbral min,0.8889412357727424,,False
CRI,ruptura,Ingenuo,1.0,,False
CRI,ruptura,Deriva,1.0060563442178128,,False
CUB,calma,AR(1),0.8613100813491567,0.4064033661738686,False
CUB,calma,"ARIMA(1,1,1)",0.887391777773998,0.4613592365637004,False
CUB,calma,"ARMA(2,2)",0.907135485576693,0.5608640389577421,False
CUB,calma,Comb. RF/AR(1) umbral min,0.998192729226294,0.9940456548426106,False
CUB,calma,Ingenuo,1.0,,False
CUB,calma,Deriva,1.0166553661481117,0.273599670746242,False
CUB,calma,Comb. RF/AR(1) suave,1.0749601238175754,0.7686909891990553,False
CUB,calma,Comb. RF/AR(1) dura,1.0749601238175754,0.7686909891990553,False
CUB,calma,Comb. RF/ingenuo suave,1.0749601238175754,0.7686909891990553,False
CUB,calma,Ridge sobre rezagos,1.110536830573009,0.5943702168133072,False
CUB,calma,LSTM(16),1.1449574424731772,0.5097421849442659,False
CUB,calma,Random Forest,1.1853217848744066,0.40258841854560623,False
CUB,ruptura,Ridge sobre rezagos,0.7400253858459463,,False
CUB,ruptura,AR(1),0.7898059668545941,,False
CUB,ruptura,"ARIMA(1,1,1)",0.7901257125030297,,False
CUB,ruptura,"ARMA(2,2)",0.796096904181716,,False
CUB,ruptura,Random Forest,0.8001040262817862,,False
CUB,ruptura,Comb. RF/AR(1) umbral min,0.8018987595576627,,False
CUB,ruptura,Comb. LSTM/AR(1) suave,0.8422501021811011,,False
CUB,ruptura,Comb. RF/AR(1) suave,0.9032233136102576,,False
CUB,ruptura,Comb. RF/AR(1) dura,0.9032233136102576,,False
CUB,ruptura,Comb. RF/ingenuo suave,0.9032233136102576,,False
CUB,ruptura,Ingenuo,1.0,,False
CUB,ruptura,Deriva,1.009413138989174,,False
CUB,ruptura,LSTM(16),1.11227302566039,,False
DOM,calma,AR(1),0.7024174051666048,0.016985707660239754,True
DOM,calma,Comb. RF/AR(1) umbral min,0.7024174051666048,0.016985707660239754,True
