modelo,familia,origen,objetivo,paso,real,pronostico,error
Deriva,referencia,2009,2010,1,4.49465897070922,1.057365971753319,-3.437292998955901
AR(1),Box-Jenkins,2009,2010,1,4.49465897070922,2.6159576098857684,-1.8787013608234515
AR(2),Box-Jenkins,2009,2010,1,4.49465897070922,2.6446848136939485,-1.8499741570152715
MA(1),Box-Jenkins,2009,2010,1,4.49465897070922,3.1741093334973853,-1.3205496372118346
MA(2),Box-Jenkins,2009,2010,1,4.49465897070922,2.5192428026944125,-1.9754161680148075
"ARMA(1,1)",Box-Jenkins,2009,2010,1,4.49465897070922,2.629298711902117,-1.8653602588071028
"ARMA(2,1)",Box-Jenkins,2009,2010,1,4.49465897070922,2.4932040835205616,-2.0014548871886584
"ARIMA(1,1,1)",Box-Jenkins,2009,2010,1,4.49465897070922,2.4766664791922888,-2.017992491516931
"ARIMA(2,1,0)",Box-Jenkins,2009,2010,1,4.49465897070922,1.9454438047237557,-2.5492151659854643
AR(1)+COVID,Box-Jenkins,2009,2010,1,4.49465897070922,2.6159576098857684,-1.8787013608234515
"ARMA(1,1)+COVID",Box-Jenkins,2009,2010,1,4.49465897070922,2.629298711902117,-1.8653602588071028
"SARIMAX(1,0,0)+macro",con exogenas,2009,2010,1,4.49465897070922,1.7906268095479998,-2.70403216116122
"SARIMAX(1,0,1)+macro+COVID",con exogenas,2009,2010,1,4.49465897070922,1.465341843801976,-3.0293171269072436
VAR(2),con exogenas,2009,2010,1,4.49465897070922,3.9235041317964487,-0.5711548389127712
Ridge,regularizado,2009,2010,1,4.49465897070922,2.6230441113706826,-1.8716148593385373
Lasso,regularizado,2009,2010,1,4.49465897070922,3.3944319365090085,-1.1002270342002114
ElasticNet,regularizado,2009,2010,1,4.49465897070922,3.2647397213534366,-1.2299192493557833
Factores PCA + AR,regularizado,2009,2010,1,4.49465897070922,1.7742059020944376,-2.7204530686147823
Random Forest,aprendizaje,2009,2010,1,4.49465897070922,2.947568631203791,-1.547090339505429
Gradient Boosting,aprendizaje,2009,2010,1,4.49465897070922,3.7866070821479703,-0.7080518885612497
MLP,aprendizaje,2009,2010,1,4.49465897070922,3.9789086194273087,-0.5157503512819113
